iter	Logloss
0	0.6668028092
1	0.6434764141
2	0.6198877994
3	0.5978494626
4	0.5777748378
5	0.5563787321
6	0.5369262836
7	0.5204652125
8	0.5063940978
9	0.4903850958
10	0.4767360562
11	0.4655091169
12	0.4548752038
13	0.4449576505
14	0.4362922741
15	0.4278274936
16	0.4203855181
17	0.4131636011
18	0.4054515317
19	0.39974201
20	0.3938893985
21	0.3890082842
22	0.3828940325
23	0.3788216456
24	0.374590393
25	0.3703959855
26	0.3666731552
27	0.3631233658
28	0.3589639404
29	0.3552488194
30	0.3523514949
31	0.3488608593
32	0.3457766432
33	0.3436356171
34	0.3411699692
35	0.3380927419
36	0.3363120816
37	0.3344091136
38	0.3321995902
39	0.329938707
40	0.3286009368
41	0.3267268014
42	0.3255536901
43	0.3237487681
44	0.3226791531
45	0.3176351295
46	0.3166086311
47	0.3153956142
48	0.3135235881
49	0.3119924213
50	0.3106926157
51	0.3097380279
52	0.3090037418
53	0.3070264671
54	0.3065245902
55	0.3033313713
56	0.3020286235
57	0.3013412842
58	0.3008908093
59	0.2997818604
60	0.2988387967
61	0.2980020107
62	0.2972277022
63	0.2965026868
64	0.2961059913
65	0.295466264
66	0.2947254673
67	0.2938141857
68	0.292036394
69	0.2914010574
70	0.2888443965
71	0.2885863025
72	0.2879159005
73	0.2870598114
74	0.2863813819
75	0.2857705082
76	0.2842710817
77	0.2834890963
78	0.2830460738
79	0.2812756021
80	0.2806143841
81	0.2798958283
82	0.2790071481
83	0.2788207839
84	0.2783544227
85	0.2776079091
86	0.2772250265
87	0.2764541133
88	0.2759913025
89	0.2758353624
90	0.2756625583
91	0.2754079006
92	0.2752596859
93	0.2750008957
94	0.2747171243
95	0.2741645714
96	0.2728814396
97	0.2711621602
98	0.2706722438
99	0.2702076607
100	0.2700067539
101	0.2694986949
102	0.2686862921
103	0.2672685554
104	0.2669426998
105	0.2663963139
106	0.2657436858
107	0.2655529444
108	0.2651297635
109	0.2648442673
110	0.2638029335
111	0.2630240462
112	0.2620474313
113	0.2619189198
114	0.261518565
115	0.2611244509
116	0.2610339659
117	0.2606630061
118	0.2605472175
119	0.2597939567
120	0.2596681985
121	0.2595262813
122	0.2591740076
123	0.2590700229
124	0.2584311486
125	0.2583273105
126	0.2574808945
127	0.2570274611
128	0.2565055234
129	0.256275198
130	0.255909833
131	0.2555400288
132	0.2547945271
133	0.2539559696
134	0.2538131785
135	0.2537062512
136	0.253296957
137	0.2530256694
138	0.2527143251
139	0.2523154853
140	0.2516273669
141	0.2515490631
142	0.2513633502
143	0.2511322838
144	0.2506176272
145	0.2500659697
146	0.2492859528
147	0.2489409169
148	0.248785391
149	0.2486415976
150	0.2485217864
151	0.2483881692
152	0.2481499062
153	0.2478794492
154	0.24760093
155	0.2471078175
156	0.2469729976
157	0.2469030412
158	0.2465048222
159	0.2461974999
160	0.2458943202
161	0.2458139283
162	0.245557653
163	0.2451578933
164	0.2448470548
165	0.2445472607
166	0.2444475001
167	0.2442383094
168	0.2438483706
169	0.2437966409
170	0.2435832914
171	0.2433314095
172	0.2432356628
173	0.2428139723
174	0.2424889107
175	0.2421493672
176	0.2418987633
177	0.2414798703
178	0.2414085742
179	0.2413004554
180	0.2412150369
181	0.2409597212
182	0.2409095703
183	0.2406424532
184	0.2404904063
185	0.2404270853
186	0.2402054226
187	0.2400407331
188	0.2399792993
189	0.2396623563
190	0.2395812635
191	0.2394031933
192	0.238961334
193	0.2388504697
194	0.238777901
195	0.2386437591
196	0.2381436733
197	0.2378169201
198	0.2375432114
199	0.2374818437
