iter	Passed	Remaining
0	172	34362
1	204	20287
2	233	15309
3	265	13021
4	296	11569
5	334	10822
6	368	10146
7	400	9612
8	436	9264
9	471	8964
10	504	8661
11	534	8376
12	566	8148
13	599	7960
14	629	7757
15	663	7634
16	699	7527
17	733	7411
18	768	7317
19	807	7265
20	840	7165
21	875	7083
22	910	7009
23	945	6933
24	978	6851
25	1014	6787
26	1051	6738
27	1086	6675
28	1121	6610
29	1156	6552
30	1188	6480
31	1220	6409
32	1254	6347
33	1287	6287
34	1322	6234
35	1358	6187
36	1405	6192
37	1448	6176
38	1486	6134
39	1521	6085
40	1555	6031
41	1592	5990
42	1624	5933
43	1655	5871
44	1685	5804
45	1722	5768
46	1754	5711
47	1787	5660
48	1822	5615
49	1855	5565
50	1889	5520
51	1923	5474
52	1956	5425
53	1993	5390
54	2027	5344
55	2063	5307
56	2099	5266
57	2133	5223
58	2166	5177
59	2200	5133
60	2236	5096
61	2271	5055
62	2304	5012
63	2340	4973
64	2378	4939
65	2415	4904
66	2451	4866
67	2485	4825
68	2520	4784
69	2553	4742
70	2591	4707
71	2625	4667
72	2659	4627
73	2695	4589
74	2728	4547
75	2761	4505
76	2799	4471
77	2832	4430
78	2866	4390
79	2901	4351
80	2933	4310
81	2969	4273
82	3002	4233
83	3040	4198
84	3072	4156
85	3108	4120
86	3141	4080
87	3176	4043
88	3215	4010
89	3252	3975
90	3287	3938
91	3326	3904
92	3359	3865
93	3392	3825
94	3426	3787
95	3464	3753
96	3499	3716
97	3532	3676
98	3566	3638
99	3602	3602
100	3634	3562
101	3674	3530
102	3719	3502
103	3757	3468
104	3795	3433
105	3836	3401
106	3873	3366
107	3905	3326
108	3936	3286
109	3966	3245
110	4002	3209
111	4038	3173
112	4074	3136
113	4109	3099
114	4143	3062
115	4175	3023
116	4207	2984
117	4242	2948
118	4274	2909
119	4308	2872
120	4341	2834
121	4370	2794
122	4403	2756
123	4439	2720
124	4475	2685
125	4506	2646
126	4542	2611
127	4576	2574
128	4610	2537
129	4644	2500
130	4677	2463
131	4711	2427
132	4745	2390
133	4776	2352
134	4812	2316
135	4845	2280
136	4877	2242
137	4911	2206
138	4943	2169
139	4977	2133
140	5009	2096
141	5041	2059
142	5072	2021
143	5107	1986
144	5139	1949
145	5171	1912
146	5205	1876
147	5239	1840
148	5268	1803
149	5301	1767
150	5335	1731
151	5370	1696
152	5406	1660
153	5442	1625
154	5477	1590
155	5512	1554
156	5549	1519
157	5586	1484
158	5628	1451
159	5668	1417
160	5704	1381
161	5742	1347
162	5774	1310
163	5809	1275
164	5844	1239
165	5876	1203
166	5910	1167
167	5951	1133
168	6009	1102
169	6052	1068
170	6090	1032
171	6126	997
172	6167	962
173	6205	927
174	6239	891
175	6269	854
176	6302	818
177	6335	783
178	6368	747
179	6400	711
180	6433	675
181	6465	639
182	6499	603
183	6533	568
184	6571	532
185	6601	496
186	6635	461
187	6669	425
188	6703	390
189	6737	354
190	6768	318
191	6804	283
192	6838	248
193	6871	212
194	6905	177
195	6937	141
196	6974	106
197	7006	70
198	7045	35
199	7077	0
